KISAIMCODE,KISAIMLABEL
0,BA
1,BAcc
2,BArch
3,BBA
4,BD
5,BDiv
6,BDS
7,BEd
8,BEng
9,BFin
10,BHSc
11,BM
12,BMedSc
13,BMedSci
14,BMid
15,BMidWif
16,BMus
17,BN
18,BNurs
19,BOptom
20,BOst
21,BSc
22,BSW
23,BTechEd
24,BTh
25,BVetMed
26,BVMS
27,BVSc
28,CertHE
29,DipHE
30,FD
31,FDA
32,FDArts
33,FDEd
34,FDEng
35,FDS
36,FdSc
38,HND
39,LLB
40,MA
41,MArch
42,MART
43,MBBS
44,MBBCh
45,MBChB
46,MBiol
47,MBiolSci
48,MBioMed Sci
49,MChem
50,MChiro
51,MComp
52,M.CMAc
53,MDes
54,MEarthSci
55,MEd
56,MEng
57,MEnvSci
58,MESci
59,MGeol
60,MGeoPhys
61,MGeoSci
62,MInf
63,MMarBiol
64,MMath
65,MMBiol
66,MME
67,MMet
68,MMSci
70,MOcean
71,MOptom
72,MOst
73,MPharm
74,MPhys
75,MPlan
76,MSc
77,MSci
78,MTCP
79,MZOOL
80,TQFE
81,BChD
82,BA/BSc
83,BMBS
84,BNatSci
85,BVMBVS
86,BVMedSci
87,DipArch
88,MBiochem
89,MChd
90,MChemPhys
91,MCompPhil
92,MCompSci
93,MEcon
94,MLA
95,MMathCompSci
96,MMathPhil
97,MNatSci
98,MNurs
99,MNursSci
100,MNutr
101,MPhyPhil
102,MPLAN
103,BDes
104,BFA
105,BM BCh
106,MEcol
107,MLaw
108,MOSci
109,BEconSc
110,BSc (Eng)
111,BScEcon
112,BSocSc
113,IPML
114,MDrama
115,MGeog
116,MHist
117,MMath&Phys
118,MNeuroSci
119,BEng/BSc
120,MAcc
121,MAnth
122,MBus
123,MEnv
124,MFA
125,MMkt
126,Graduate Diploma
127,BASc
128,BSc(Econ)
129,MPharmacol
130,FdA
131,Vet.M.B
132,MClass
133,MBio
134,MSW
135,MPharmSci
136,"MB,BChir"
137,MTheol
138,MPol
139,MLibArts
140,MPsych
141,MDiv
142,BVMSci
143,MEarthPhys
144,MEd Stud
145,MArabic
146,MVetPhys
147,MBioms
148,MLang
149,MA(SocSci)
150,MFor
151,MSoc
152,BPA
153,MHRM
154,MComSC
155,MLit
156,BM
157,MMedSci
158,MClassL
159,MArc
160,MRelSt
161,MPhiloSt
162,MCreW
163,MEngLit
164,MSocStud
165,MAccFin
166,MLing
167,MMorse
168,MSPRT
169,MGeogSCI
170,MArts
171,MMus
172,MTheatre
173,MFin
174,BDOS
175,MSLT
176,MNSW
177,MPhysio
178,AdvDip
179,MMusEd
180,MPhysio
181,MA
182,MPA
183,MRegSci
